omega_pu,frequency_hz,mechanical_power_pu,electrical_power_speed_coupled_pu,electrical_power_if_only_pu,terminal_voltage_speed_coupled_ll_rms,terminal_voltage_if_only_ll_rms,equilibrium_omega_pu,equilibrium_frequency_hz
0.4,24.0,0.5,0.05065594845867528,0.3165996778667204,116.22500988304284,290.5625247076071,1.2566946547479219,75.40167928487531
0.40400514739384,24.2403088436304,0.5,0.0516754497989743,0.3165996778667204,117.3887556216231,290.5625247076071,1.2566946547479219,75.40167928487531
0.40801029478768,24.4806176872608,0.5,0.05270510842035379,0.3165996778667204,118.55250136020331,290.5625247076071,1.2566946547479219,75.40167928487531
0.41201544218152,24.720926530891198,0.5,0.05374492432281376,0.3165996778667204,119.71624709878354,290.5625247076071,1.2566946547479219,75.40167928487531
0.4160205895753599,24.961235374521596,0.5,0.05479489750635421,0.3165996778667204,120.8799928373638,290.5625247076071,1.2566946547479219,75.40167928487531
0.4200257369691999,25.201544218151994,0.5,0.05585502797097513,0.3165996778667204,122.043738575944,290.5625247076071,1.2566946547479219,75.40167928487531
0.42403088436303993,25.441853061782396,0.5,0.056925315716676535,0.3165996778667204,123.20748431452427,290.5625247076071,1.2566946547479219,75.40167928487531
0.4280360317568799,25.68216190541279,0.5,0.058005760743458416,0.3165996778667204,124.3712300531045,290.5625247076071,1.2566946547479219,75.40167928487531
0.4320411791507199,25.922470749043192,0.5,0.05909636305132077,0.3165996778667204,125.53497579168473,290.5625247076071,1.2566946547479219,75.40167928487531
0.4360463265445599,26.162779592673594,0.5,0.06019712264026361,0.3165996778667204,126.69872153026496,290.5625247076071,1.2566946547479219,75.40167928487531
0.44005147393839983,26.40308843630399,0.5,0.06130803951028693,0.3165996778667204,127.86246726884522,290.5625247076071,1.2566946547479219,75.40167928487531
0.44405662133223983,26.64339727993439,0.5,0.062429113661390714,0.3165996778667204,129.02621300742544,290.5625247076071,1.2566946547479219,75.40167928487531
0.44806176872607983,26.88370612356479,0.5,0.063560345093575,0.3165996778667204,130.18995874600571,290.5625247076071,1.2566946547479219,75.40167928487531
0.4520669161199198,27.124014967195187,0.5,0.06470173380683973,0.3165996778667204,131.35370448458593,290.5625247076071,1.2566946547479219,75.40167928487531
0.4560720635137598,27.36432381082559,0.5,0.06585327980118497,0.3165996778667204,132.51745022316618,290.5625247076071,1.2566946547479219,75.40167928487531
0.46007721090759973,27.604632654455983,0.5,0.06701498307661066,0.3165996778667204,133.6811959617464,290.5625247076071,1.2566946547479219,75.40167928487531
0.46408235830143973,27.844941498086385,0.5,0.06818684363311683,0.3165996778667204,134.84494170032664,290.5625247076071,1.2566946547479219,75.40167928487531
0.4680875056952797,28.08525034171678,0.5,0.06936886147070351,0.3165996778667204,136.0086874389069,290.5625247076071,1.2566946547479219,75.40167928487531
0.4720926530891197,28.32555918534718,0.5,0.07056103658937062,0.3165996778667204,137.1724331774871,290.5625247076071,1.2566946547479219,75.40167928487531
0.4760978004829597,28.565868028977583,0.5,0.07176336898911827,0.3165996778667204,138.33617891606738,290.5625247076071,1.2566946547479219,75.40167928487531
0.48010294787679964,28.806176872607978,0.5,0.07297585866994633,0.3165996778667204,139.4999246546476,290.5625247076071,1.2566946547479219,75.40167928487531
0.48410809527063964,29.04648571623838,0.5,0.07419850563185493,0.3165996778667204,140.66367039322785,290.5625247076071,1.2566946547479219,75.40167928487531
0.48811324266447964,29.286794559868778,0.5,0.07543130987484396,0.3165996778667204,141.82741613180806,290.5625247076071,1.2566946547479219,75.40167928487531
0.4921183900583196,29.527103403499176,0.5,0.07667427139891345,0.3165996778667204,142.9911618703883,290.5625247076071,1.2566946547479219,75.40167928487531
0.4961235374521596,29.767412247129574,0.5,0.07792739020406349,0.3165996778667204,144.15490760896856,290.5625247076071,1.2566946547479219,75.40167928487531
0.5001286848459996,30.007721090759976,0.5,0.07919066629029395,0.3165996778667204,145.3186533475488,290.5625247076071,1.2566946547479219,75.40167928487531
0.5041338322398395,30.248029934390374,0.5,0.08046409965760491,0.3165996778667204,146.48239908612902,290.5625247076071,1.2566946547479219,75.40167928487531
0.5081389796336795,30.48833877802077,0.5,0.0817476903059963,0.3165996778667204,147.64614482470924,290.5625247076071,1.2566946547479219,75.40167928487531
0.5121441270275195,30.728647621651174,0.5,0.08304143823546824,0.3165996778667204,148.80989056328949,290.5625247076071,1.2566946547479219,75.40167928487531
0.5161492744213595,30.96895646528157,0.5,0.08434534344602064,0.3165996778667204,149.97363630186976,290.5625247076071,1.2566946547479219,75.40167928487531
0.5201544218151994,31.209265308911966,0.5,0.08565940593765348,0.3165996778667204,151.13738204044995,290.5625247076071,1.2566946547479219,75.40167928487531
0.5241595692090395,31.449574152542368,0.5,0.08698362571036686,0.3165996778667204,152.30112777903022,290.5625247076071,1.2566946547479219,75.40167928487531
0.5281647166028794,31.689882996172766,0.5,0.08831800276416066,0.3165996778667204,153.46487351761044,290.5625247076071,1.2566946547479219,75.40167928487531
0.5321698639967194,31.930191839803165,0.5,0.08966253709903495,0.3165996778667204,154.6286192561907,290.5625247076071,1.2566946547479219,75.40167928487531
0.5361750113905595,32.170500683433566,0.5,0.09101722871498975,0.3165996778667204,155.79236499477094,290.5625247076071,1.2566946547479219,75.40167928487531
0.5401801587843994,32.41080952706396,0.5,0.09238207761202498,0.3165996778667204,156.95611073335118,290.5625247076071,1.2566946547479219,75.40167928487531
0.5441853061782393,32.65111837069436,0.5,0.09375708379014071,0.3165996778667204,158.1198564719314,290.5625247076071,1.2566946547479219,75.40167928487531
0.5481904535720794,32.891427214324764,0.5,0.09514224724933693,0.3165996778667204,159.28360221051165,290.5625247076071,1.2566946547479219,75.40167928487531
0.5521956009659194,33.13173605795516,0.5,0.0965375679896136,0.3165996778667204,160.4473479490919,290.5625247076071,1.2566946547479219,75.40167928487531
0.5562007483597593,33.37204490158556,0.5,0.09794304601097074,0.3165996778667204,161.6110936876721,290.5625247076071,1.2566946547479219,75.40167928487531
0.5602058957535994,33.61235374521596,0.5,0.09935868131340843,0.3165996778667204,162.77483942625238,290.5625247076071,1.2566946547479219,75.40167928487531
0.5642110431474393,33.85266258884636,0.5,0.1007844738969265,0.3165996778667204,163.9385851648326,290.5625247076071,1.2566946547479219,75.40167928487531
0.5682161905412793,34.09297143247676,0.5,0.1022204237615251,0.3165996778667204,165.10233090341282,290.5625247076071,1.2566946547479219,75.40167928487531
0.5722213379351193,34.33328027610716,0.5,0.1036665309072042,0.3165996778667204,166.26607664199307,290.5625247076071,1.2566946547479219,75.40167928487531
